Algorithm,Run,HV,ONVG,SPACING,SPREAD,MAXIMUM SPREAD,ONVGR,Error Ratio,Max Pareto Front Error,GD,IGD
OMOPSO,1,0.186812598,12,0.007897304753623274,0.07178907584272766,0.6023668013282796,0.8571428571428571,0.75,4.104703969253292,0.4639895434939056,0.8192764859986
OMOPSO,2,0.2432110466,22,0.0009450010630031253,0.01834732903104949,0.933047564016401,0.9166666666666666,0.9090909090909091,12.451321901421073,1.1914192369700098,0.7537457137236663
OMOPSO,3,0.2443394826,11,0.0014116945772492098,0.027618201204076855,0.8282586013398081,0.5789473684210527,0.7272727272727273,32.36841829619162,3.5756699880737415,0.798571699028409
SMPSO,1,0.3264600875,31,0.0002172754807403812,0.008976416416378748,1.1014328337543666,2.2142857142857144,0.9354838709677419,48.641858475799125,3.4585975827832685,0.4559794435192935
SMPSO,2,0.2151563542,16,0.0012942647368426046,0.0257894099265854,1.0447924555204013,0.6666666666666666,0.6875,12.659620004026044,1.3155302194318745,0.347938140686042
SMPSO,3,0.2096380919,23,0.0006656392931078366,0.018636623760895567,0.716430291121693,1.2105263157894737,0.6956521739130435,4.325182589304863,0.30075497210394997,0.1928016358412961
MOEAD,1,0.3305409743,31,0.0007121300600124819,0.015973384872366235,0.6975355909765116,2.2142857142857144,1.0,20.086372106823045,1.3227674657142134,0.478894532586668
MOEAD,2,0.2973961145,38,0.0006270537806934191,0.01228591120723638,0.6405920347532318,1.5833333333333333,1.0,14.001670071254516,0.6523709588362951,1.3509701718450369
MOEAD,3,0.3048246475,20,0.0006142455654229996,0.016724884198555934,0.6073393059337766,1.0526315789473684,1.0,10.769825273512355,1.1371261035059288,0.34432991368946037
SPEA2,1,0.2907258308,27,0.0004567286891121767,0.015082060242557207,0.5849958354025048,1.9285714285714286,1.0,16.66668701363704,0.9210362595026906,1.0616213535097276
SPEA2,2,0.2518588534,26,0.0003134969619087765,0.011716478229777599,0.4682912363545836,1.0833333333333333,1.0,12.775211582940804,1.1168513759332142,2.179651639136679
SPEA2,3,0.2647699963,15,0.0036113851005087553,0.04687118711805199,0.5676583883772377,0.7894736842105263,0.9333333333333333,15.216702949341952,1.426728431435884,0.9944743513355968
EpsMOEA,1,0.249031751,24,0.00010938498542112088,0.007400724332634497,0.45825990781863063,1.7142857142857142,1.0,9.151050932749186,0.8451908027398324,1.154529754343376
EpsMOEA,2,0.2866525474,32,0.00014930362024142475,0.00828548147669205,0.4621411103333006,1.3333333333333333,1.0,14.952556334058773,1.5865316244521077,2.6109359055151704
EpsMOEA,3,0.3203237294,35,0.0004226103952369099,0.01097071186332269,0.7204453330105647,1.8421052631578947,1.0,20.474029766221573,1.776531373933119,0.4008667136161704
PESA2,1,0.2982225855,33,0.00044267180376407163,0.013188807254964133,0.6176400594236097,2.357142857142857,1.0,14.299829277105975,0.9586168666240257,0.6797872643166384
PESA2,2,0.304960282,27,0.0014778643385691106,0.01652678572566734,0.6146281094289466,1.125,0.9259259259259259,12.682052101402673,1.0150799984495653,1.2798699056547587
PESA2,3,0.3192062588,28,0.0003915126634345781,0.01168212850176997,0.5854119853258498,1.4736842105263157,1.0,23.148548158554206,1.5347342530563235,1.6195647297288962
PAES,1,0.2537842288,42,8.780467144454748e-5,0.006194230277975245,0.4765282915506134,3.0,0.9761904761904762,5.7754231453453935,0.44937764012952724,0.5685934306489198
PAES,2,0.104713827,32,1.7175254853252204e-5,0.002644535645017352,0.2003971849729036,1.3333333333333333,0.6875,4.3777349256974105,0.39378786930200765,4.360899424095778
PAES,3,0.2930759891,40,8.373972305960098e-5,0.0056782581341540735,0.3939179761088946,2.1052631578947367,1.0,23.068926291352426,1.2531290601261613,4.485231269780481
NSGAII,1,0.2444086118,31,8.09501619663313e-5,0.0056619881054379316,0.4814521303371256,2.2142857142857144,0.8709677419354839,7.297878428311025,0.48767120311798506,0.706234330151944
NSGAII,2,0.1983911896,12,0.005736423632506285,0.04099104631978787,0.5980355008684975,0.5,0.6666666666666666,13.672223328419484,2.1996019452026863,1.79494308149804
NSGAII,3,0.3047095932,27,0.001117316904157773,0.015136936000327875,0.7187283596906064,1.4210526315789473,1.0,25.892301186699388,1.91975368019677,0.8561414777423945
GDE3,1,0.2806452369,17,0.002908232414353933,0.03590047847180278,0.8488502165280916,1.2142857142857142,0.9411764705882353,34.91692381600059,4.507461680516855,0.7763655827099465
GDE3,2,0.2758644002,21,0.0004578450991971317,0.012614802478396112,0.7333541282045353,0.875,1.0,13.475549571003425,1.7632325070481403,1.179903019005475
GDE3,3,0.2472238614,21,0.00014362994598103837,0.008173206593144106,0.7441692470183304,1.105263157894737,0.8571428571428571,18.311918170083732,1.7044399080930195,0.592070654674681
CMAES,1,0.3184833548,21,0.0006957267954296143,0.014722461257919994,0.488547394875276,1.5,1.0,18.234577331754075,1.4088823961744847,2.5922025823038672
CMAES,2,0.3029127538,20,0.00014240792835182957,0.007098715136617095,0.3429760184704373,0.8333333333333334,1.0,14.695962805415387,2.6871165816010203,4.78404286940858
CMAES,3,0.2799355675,39,0.0003502128881032205,0.009666367119382924,0.3723615268198083,2.0526315789473686,1.0,5.829419257351327,0.34427030213060583,2.7276945997514455
GPR_NSGAII,1,0.2935976974,13,0.0006008598633740306,0.017772964675042392,0.6231518952910795,0.9285714285714286,1.0,14.882941759176438,1.467510078948356,0.3742453470249254
GPR_NSGAII,2,0.247475162,14,0.0010087843495057455,0.020748866562448138,0.485493929636654,0.5833333333333334,1.0,12.173939042097976,1.7418591991883539,2.260267082833744
GPR_NSGAII,3,0.2659373767,10,0.005395232151473032,0.05085364634536294,0.5195315931235456,0.5263157894736842,1.0,7.847466286310331,1.121157603987139,1.1596883633521171
GPR_Random,1,0.1596484708,5,0.003423743796509913,0.05631829107461748,0.24319122939523738,0.35714285714285715,1.0,5.800950746573588,1.519861356909296,1.5444338746936217
GPR_Random,2,0.2535956292,9,0.0007281918319785622,0.019827726822635425,0.4527389811762813,0.375,1.0,7.960755222131639,1.5459602434794328,2.3307269952169487
GPR_Random,3,0.3010161167,9,0.004296403775267175,0.05241484347517586,0.5647037881550957,0.47368421052631576,1.0,16.85833319455974,1.9760316431289817,1.3632652693854777
GPR_SMPSO,1,0.2044799767,17,0.010091443585783497,0.05238941562798565,0.7137213533157399,1.2142857142857142,0.8823529411764706,8.498624348980083,0.5790106479332644,0.6615324623302136
GPR_SMPSO,2,0.1557383104,10,0.001135272975357548,0.02847228742200172,0.39967921702952736,0.4166666666666667,1.0,12.185757396492761,1.8928500286399772,3.46772057279893
GPR_SMPSO,3,0.2680993635,13,0.0013037100411855266,0.020142584809660875,0.5891930473693445,0.6842105263157895,1.0,7.6176190176905845,0.9488868331873372,0.6576549731610911
MLP_NSGAII,1,0.2496509663,10,0.005437575269515451,0.045945304714264196,0.6804961676125876,0.7142857142857143,1.0,3.7195253351855406,0.6962485143497112,0.4830191164492033
MLP_NSGAII,2,0.2161678567,8,0.008511572796543049,0.05362738831663194,0.4725967412529926,0.3333333333333333,1.0,7.8934035889499325,1.1000908032966827,2.515754003548193
MLP_NSGAII,3,0.0921913814,5,0.002742595852675295,0.03041144062247844,0.30265143515237497,0.2631578947368421,0.6,0.5786426192725522,0.15541312722019457,3.5743420102228867
MLP_Random,1,0.2331596413,9,0.0014628107044336817,0.02818622034112811,0.4987911444391445,0.6428571428571429,1.0,3.5609322776245045,0.7358300812947327,0.738455338534374
MLP_Random,2,0.2643173175,10,0.001041358664476871,0.02078325598374973,0.4399564805546594,0.4166666666666667,1.0,9.274363927579179,1.7396614787069047,2.2584153958913658
MLP_Random,3,0.2232394637,7,0.000961995056032137,0.025155307648106546,0.4664098197057054,0.3684210526315789,1.0,1.9064021391037405,0.30534519288329764,0.6608138818061979
MLP_SMPSO,1,0.2392476859,9,0.007601419190656669,0.06155099509688241,0.6467481084312218,0.6428571428571429,1.0,4.382231481617428,0.8218054474245864,1.171574411310313
MLP_SMPSO,2,0.1483540939,4,0.014947803358637839,0.11905477894999317,0.4805828079480173,0.16666666666666666,1.0,6.291450929709097,1.5790920790814305,3.031977360991519
MLP_SMPSO,3,0.2364493932,6,0.009383796461075553,0.07599324406859644,0.6340822456115667,0.3157894736842105,0.8333333333333334,9.72635768596842,1.7034733734762446,1.5728307397342487
RF_NSGAII,1,0.271849201,13,0.0011042316753744994,0.0211215634484273,0.5282161553572328,0.9285714285714286,1.0,12.399997286478701,1.32359388280014,1.0392871923320055
RF_NSGAII,2,0.2642368991,14,0.0014683079509142357,0.0233472793413622,0.5666109552109702,0.5833333333333334,0.9285714285714286,11.394899273299366,1.3096408580613352,1.7169166703727978
RF_NSGAII,3,0.2494734705,17,0.0004354748481768099,0.013753647135859344,0.44525964542534885,0.8947368421052632,1.0,7.258480334725917,0.5349652105636198,1.074856279007811
RF_Random,1,0.2252650567,11,0.0003476611036361299,0.013136722136420398,0.42264154902949935,0.7857142857142857,0.9090909090909091,4.178331237428548,0.5885008264506055,1.177095400193668
RF_Random,2,0.2744195096,11,0.0010677784140512522,0.021269910094310944,0.539738584274294,0.4583333333333333,1.0,12.745290716017669,2.154878378364664,1.7795387548720194
RF_Random,3,0.1994498628,8,0.0010435425143944914,0.021748856538809907,0.39136166446941417,0.42105263157894735,1.0,2.799962943260306,0.5779060664330674,0.8569667722604253
RF_SMPSO,1,0.2650595942,10,0.00032145301549082176,0.019813036043650704,0.5848066886126085,0.7142857142857143,1.0,9.982155223595145,1.0521990926602156,0.8721984688717893
RF_SMPSO,2,0.2385518747,14,0.0008041256678443873,0.016491687564052185,0.5621707572194956,0.5833333333333334,1.0,8.466930183476986,1.2996350123917557,2.265788286045686
RF_SMPSO,3,0.2113573236,8,0.0011633171336677,0.027859082559062668,0.4147626075742048,0.42105263157894735,0.75,3.4199837257850887,0.4673884098334036,0.908817266956961
