Class,Subclass,Algorithm,HV
Metaheuristics,DE,GDE3,0.633780743
Metaheuristics,EA,EpsMOEA,0.521192888
Metaheuristics,EA,MOEAD,0.528507577
Metaheuristics,EA,NSGAII,0.591052475
Metaheuristics,EA,PESA2,0.521366757
Metaheuristics,EA,SPEA2,0.545066183
Metaheuristics,ES,CMAES,0.434369669
Metaheuristics,ES,PAES,0.483473739
Metaheuristics,PSO,OMOPSO,0.68507137
Metaheuristics,PSO,SMPSO,0.725229104
Model-based,GPR,GPR_NSGAII,0.527856905
Model-based,GPR,GPR_Random,0.513091191
Model-based,GPR,GPR_SMPSO,0.613527218
Model-based,MLP,MLP_NSGAII,0.579964359
Model-based,MLP,MLP_Random,0.528064941
Model-based,MLP,MLP_SMPSO,0.596954819
Model-based,RF,RF_NSGAII,0.533396365
Model-based,RF,RF_Random,0.532469494
Model-based,RF,RF_SMPSO,0.553049258
