Class,Subclass,Algorithm,Run,HV
Metaheuristics,DE,GDE3,1,0.023953877
Metaheuristics,EA,EpsMOEA,1,0.033504013
Metaheuristics,EA,MOEAD,1,0.016858416
Metaheuristics,EA,NSGAII,1,0.060840665
Metaheuristics,EA,PESA2,1,0.013232697
Metaheuristics,EA,SPEA2,1,0.031881128
Metaheuristics,ES,CMAES,1,0.031133407
Metaheuristics,ES,PAES,1,0.056721974
Metaheuristics,PSO,OMOPSO,1,0.026387493
Metaheuristics,PSO,SMPSO,1,0.05767497
Model-based,GPR,GPR_NSGAII,1,0.005937926
Model-based,GPR,GPR_Random,1,0.004522627
Model-based,GPR,GPR_SMPSO,1,0.067481692
Model-based,MLP,MLP_NSGAII,1,0.060814486
Model-based,MLP,MLP_Random,1,0.037675287
Model-based,MLP,MLP_SMPSO,1,0.012294371
Model-based,RF,RF_NSGAII,1,0.014872493
Model-based,RF,RF_Random,1,0.0093687
Model-based,RF,RF_SMPSO,1,0.010267549
