Algorithm,Run,HV,ONVG,SPACING,SPREAD,MAXIMUM SPREAD,ONVGR,Error Ratio,Max Pareto Front Error,GD,IGD
CMAES,1.0,0.019392123020667222,10.692676621563626,2.1737317289584026,0.5708779357830388,0.07697801597983751,0.6105372385928874,0.0,6.390426878107743,1.1730451989590949,1.2282161954835948
EpsMOEA,1.0,0.03566421877090408,5.686240703077327,0.3507539906690125,0.16065295091549267,0.1502649506532494,0.2646732042238076,0.0,5.662066516840644,0.49211810545344287,1.1235014233124285
GDE3,1.0,0.0180744995441016,2.309401076758503,5.387098133252903,0.9065156053576049,0.06378926057796716,0.17321558609819526,0.07179835080098766,11.246104534764683,1.6016232069836087,0.30065316993345864
GPR_NSGAII,1.0,0.02321362740783953,2.081665999466133,14.23625554030806,0.9875136549476349,0.07170012211176595,0.21765796635139492,0.0,3.5485907380492088,0.3110460702676143,0.9473887126919168
GPR_Random,1.0,0.07194857250550578,2.309401076758503,9.905913064739739,1.5759763313762611,0.16320575138895718,0.06276854043052514,0.0,5.860849707296583,0.2561685287418137,0.5143055391950745
GPR_SMPSO,1.0,0.05634445057597301,3.5118845842842465,7.231840301297786,0.9599621086469863,0.15813773228589703,0.4059465414029325,0.06792356108113246,2.4234620123460444,0.6775013929977144,1.6212739548744897
MLP_NSGAII,1.0,0.08295059366190759,2.5166114784235836,19.4216120211935,1.4730605672839632,0.1892398039500019,0.24275008352433092,0.23094010767585033,3.6695170426066475,0.47399145948542465,1.5710345276639712
MLP_Random,1.0,0.021434399076460248,1.5275252316519465,3.5339479759789345,0.7083156341861694,0.02946706358556118,0.14651788196393806,0.0,3.8658253132289784,0.7360092754578468,0.9007994014180556
MLP_SMPSO,1.0,0.051688582342483066,2.516611478423583,42.18645425590065,1.7921537265447096,0.09249631391634466,0.24357348015384012,0.09622504486493759,2.7081170645917543,0.47719529208171674,0.9790484018175755
MOEAD,1.0,0.017392978936811198,9.073771725877467,0.42279960855627996,0.1892356134637936,0.045613745013252986,0.5815475889507381,0.0,4.7305120328144925,0.3461410459336724,0.5464961370077512
NSGAII,1.0,0.053318874781495364,10.016652800877813,2.072671514035252,0.5070883256416293,0.11864404569363092,0.8579366899566917,0.16807704785223448,9.449119301868233,0.9183211255943831,0.5900716551643611
OMOPSO,1.0,0.03289225041473716,6.082762530298219,8.290773599073066,1.5511641175861994,0.16899585735715647,0.18027300512135305,0.0990658850804699,14.521216129391192,1.6276957533207288,0.033497112504839416
PAES,1.0,0.09936979020412658,5.291502622129181,0.13517956118963656,0.11202850388573579,0.14172928939772864,0.8340870706392783,0.17395657239050602,10.41136733005352,0.4808973989695959,2.226248530551695
PESA2,1.0,0.01071337912980294,3.214550253664318,5.744636645717134,0.3012076978486711,0.01780122893898344,0.6351188706796095,0.04276668660663888,5.63418980492454,0.31757935295398626,0.475862976502477
RF_NSGAII,1.0,0.01137672536110951,2.081665999466133,2.7610240210209875,0.3240722448963617,0.062024301128097016,0.19030951409061408,0.04123930494211611,2.725049853264075,0.4513410071477556,0.38137654524903775
RF_Random,1.0,0.03808550121614449,1.7320508075688772,3.9094662747915696,0.6333571549048257,0.07821536205886569,0.20064324089532645,0.05248638810814775,5.388293458503894,0.9074224077645242,0.46842989463355383
RF_SMPSO,1.0,0.026851867316249514,3.055050463303893,3.262772121996601,0.6331510185376286,0.09233682677032445,0.14689519678595525,0.14433756729740643,3.4358325103648597,0.4273683962328197,0.7942295912340325
SMPSO,1.0,0.06591200057816424,7.505553499465135,1.0847688384177094,0.3819079463381316,0.20786886943804853,0.7851158051063556,0.14087920423291184,23.551900468568117,1.6121660625937038,0.13228933990030287
SPEA2,1.0,0.01979496942738955,6.658328118479393,7.331501520619538,0.6601081957800428,0.06297404413643137,0.5913719362962137,0.038490017945975105,1.9666771852812,0.25498101958911074,0.665725874891408
