Algorithm,Run,HV,ONVG,SPACING,SPREAD,MAXIMUM SPREAD,ONVGR,Error Ratio,Max Pareto Front Error,GD,IGD
CMAES,1.0,0.03136685792656689,,,,,,,,,
EpsMOEA,1.0,0.06053088622085176,,,,,,,,,
GDE3,1.0,0.025914288471189883,,,,,,,,,
GPR_NSGAII,1.0,0.01076335952509672,,,,,,,,,
GPR_Random,1.0,0.01482018277447239,,,,,,,,,
GPR_SMPSO,1.0,0.06717124362224483,,,,,,,,,
MLP_NSGAII,1.0,0.07619975712937417,,,,,,,,,
MLP_Random,1.0,0.037544638137797404,,,,,,,,,
MLP_SMPSO,1.0,0.057477085144712996,,,,,,,,,
MOEAD,1.0,0.010614467497912474,,,,,,,,,
NSGAII,1.0,0.03291039436944255,,,,,,,,,
OMOPSO,1.0,0.054675237289513706,,,,,,,,,
PAES,1.0,0.047276173309423755,,,,,,,,,
PESA2,1.0,0.02231277946857994,,,,,,,,,
RF_NSGAII,1.0,0.01815280617231134,,,,,,,,,
RF_Random,1.0,0.014981613230192387,,,,,,,,,
RF_SMPSO,1.0,0.0372106988282399,,,,,,,,,
SMPSO,1.0,0.01803799448605583,,,,,,,,,
SPEA2,1.0,0.03990119444392375,,,,,,,,,
