,,,,,,,,,,,,,,Algorithm,CMAES,EpsMOEA,GDE3,GPR_NSGAII,GPR_Random,GPR_SMPSO,MLP_NSGAII,MLP_Random,MLP_SMPSO,MOEAD,NSGAII,OMOPSO,PAES,PESA2,RF_NSGAII,RF_Random,RF_SMPSO,SMPSO,SPEA2
Class,Subclass,Algorithm,ONVG,ONVGR,SPACING,SPREAD,MAX SPREAD,ER,MPFE,GD,HV,IGD,,ONVG,26.67,30.33,19.67,12.33,7.67,13.33,7.67,8.67,6.33,29.67,23.33,15.00,38.00,29.33,14.67,10.00,10.67,23.33,22.67
Metaheuristics,DE,GDE3,19.67,0.678,3.997,1.312,60.040,0.984,15.229,1.572,0.268,0.841,,ONVGR,0.920,1.046,0.678,0.425,0.264,0.460,0.264,0.299,0.218,1.023,0.805,0.517,1.310,1.011,0.506,0.345,0.368,0.805,0.782
Metaheuristics,EA,EpsMOEA,30.33,1.046,0.777,0.642,44.613,1.000,13.437,1.200,0.285,1.385,,SPACING,1.392,0.777,3.997,11.069,12.055,8.605,15.006,5.089,62.111,3.088,1.959,6.127,0.229,5.157,5.779,3.810,5.737,1.962,6.650
Metaheuristics,EA,MOEAD,29.67,1.023,3.088,1.178,53.388,1.000,14.616,0.999,0.311,0.821,,SPREAD,0.567,0.642,1.312,2.164,2.587,1.960,2.794,1.846,6.605,1.178,0.835,1.829,0.312,1.165,1.848,1.374,1.812,1.171,1.522
Metaheuristics,EA,NSGAII,23.33,0.805,1.959,0.835,47.855,0.889,12.400,1.358,0.249,1.190,,MAXIMUM SPREAD,30.478,44.613,60.040,44.795,33.355,41.684,28.960,37.348,41.746,53.388,47.855,54.721,29.149,49.776,42.070,35.931,42.457,69.210,44.159
Metaheuristics,EA,PESA2,29.33,1.011,5.157,1.165,49.776,1.000,15.809,1.027,0.307,1.217,,ER,1.000,1.000,0.984,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.889,0.939,0.896,1.000,1.000,1.000,0.917,0.857,0.978
Metaheuristics,EA,SPEA2,22.67,0.782,6.650,1.522,44.159,0.978,12.242,0.949,0.269,1.240,,MPFE,14.295,13.437,15.229,9.890,9.002,7.324,4.755,5.952,5.596,14.616,12.400,10.611,9.204,15.809,9.726,6.804,6.669,10.085,12.242
Metaheuristics,ES,CMAES,26.67,0.920,1.392,0.567,30.478,1.000,14.295,1.567,0.300,3.077,,GD,1.567,1.200,1.572,1.218,1.487,0.896,0.703,0.991,1.211,0.999,1.358,1.220,0.579,1.027,1.014,1.008,0.782,0.871,0.949
Metaheuristics,ES,PAES,38.00,1.310,0.229,0.312,29.149,0.896,9.204,0.579,0.217,2.784,,HV,0.300,0.285,0.268,0.269,0.238,0.209,0.186,0.240,0.208,0.311,0.249,0.225,0.217,0.307,0.262,0.233,0.238,0.250,0.269
Metaheuristics,PSO,OMOPSO,15.00,0.517,6.127,1.829,54.721,0.939,10.611,1.220,0.225,0.983,,IGD,3.077,1.385,0.841,1.140,1.673,1.444,1.983,1.399,1.475,0.821,1.190,0.983,2.784,1.217,1.265,1.373,1.225,0.615,1.240
Metaheuristics,PSO,SMPSO,23.33,0.805,1.962,1.171,69.210,0.857,10.085,0.871,0.250,0.615,,,,,,,,,,,,,,,,,,,,,
Model-based,GPR,GPR_NSGAII,12.33,0.425,11.069,2.164,44.795,1.000,9.890,1.218,0.269,1.140,,,,,,,,,,,,,,,,,,,,,
Model-based,GPR,GPR_Random,7.67,0.264,12.055,2.587,33.355,1.000,9.002,1.487,0.238,1.673,,,,,,,,,,,,,,,,,,,,,
Model-based,GPR,GPR_SMPSO,13.33,0.460,8.605,1.960,41.684,1.000,7.324,0.896,0.209,1.444,,,,,,,,,,,,,,,,,,,,,
Model-based,MLP,MLP_NSGAII,7.67,0.264,15.006,2.794,28.960,1.000,4.755,0.703,0.186,1.983,,,,,,,,,,,,,,,,,,,,,
Model-based,MLP,MLP_Random,8.67,0.299,5.089,1.846,37.348,1.000,5.952,0.991,0.240,1.399,,,,,,,,,,,,,,,,,,,,,
Model-based,MLP,MLP_SMPSO,6.33,0.218,62.111,6.605,41.746,1.000,5.596,1.211,0.208,1.475,,,,,,,,,,,,,,,,,,,,,
Model-based,RF,RF_NSGAII,14.67,0.506,5.779,1.848,42.070,1.000,9.726,1.014,0.262,1.265,,,,,,,,,,,,,,,,,,,,,
Model-based,RF,RF_Random,10.00,0.345,3.810,1.374,35.931,1.000,6.804,1.008,0.233,1.373,,,,,,,,,,,,,,,,,,,,,
Model-based,RF,RF_SMPSO,10.67,0.368,5.737,1.812,42.457,0.917,6.669,0.782,0.238,1.225,,,,,,,,,,,,,,,,,,,,,
