,,,Cardinality,,,Diversity,,,Accuracy,,All,,
Class,Subclass,Algorithm,ONVG,ONVGR,ER,Spacing,Spread,Max Spread,MPFE,GD,HV,IGD,
Metaheuristic,DE,GDE3,19.67,1.06,0.93,4.00,1.31,60.04,22.23,2.66,0.73,0.85,
Metaheuristic,EA,EpsMOEA,30.33,1.63,1.00,0.78,0.64,44.61,14.86,1.40,0.71,1.39,
Metaheuristic,EA,NSGAII,23.33,1.38,0.85,1.96,0.83,47.86,15.62,1.54,0.75,1.12,
Metaheuristic,EA,PESA2,29.33,1.65,0.98,5.16,1.16,49.78,16.71,1.17,0.69,1.19,
Metaheuristic,EA,SPEA2,22.67,1.27,0.98,6.65,1.52,44.16,14.89,1.15,0.73,1.41,
Metaheuristic,EA,MOEAD,29.67,1.62,1.00,3.09,1.18,53.39,14.95,1.04,0.69,0.72,
Metaheuristic,ES,CMAES,26.67,1.46,1.00,1.39,0.57,30.48,12.92,1.48,0.70,3.37,
Metaheuristic,ES,PAES,38.00,2.15,0.89,0.23,0.31,29.15,11.07,0.70,0.78,3.14,
Metaheuristic,PSO,OMOPSO,15.00,0.78,0.80,6.13,1.83,54.72,16.31,1.74,0.78,0.79,
Metaheuristic,PSO,SMPSO,23.33,1.36,0.77,1.96,1.17,69.21,21.88,1.69,0.75,0.33,
Model-based,GPR,GPR_NSGAII,12.33,0.68,1.00,11.07,2.16,44.80,11.63,1.44,0.73,1.26,
Model-based,GPR,GPR_Random,7.67,0.40,1.00,12.05,2.59,33.35,10.21,1.68,0.76,1.75,
Model-based,GPR,GPR_SMPSO,13.33,0.77,0.96,8.61,1.96,41.68,9.43,1.14,0.79,1.60,
Model-based,MLP,MLP_NSGAII,7.67,0.44,0.87,15.01,2.79,28.96,4.06,0.65,0.81,2.19,
Model-based,MLP,MLP_Random,8.67,0.48,1.00,5.09,1.85,37.35,4.91,0.93,0.76,1.22,
Model-based,MLP,MLP_SMPSO,6.33,0.38,0.94,62.11,6.60,41.75,6.80,1.37,0.79,1.93,
Model-based,RF,RF_NSGAII,14.67,0.80,0.98,5.78,1.85,42.07,10.35,1.06,0.74,1.28,
Model-based,RF,RF_Random,10.00,0.56,0.97,3.81,1.37,35.93,6.57,1.11,0.77,1.27,
Model-based,RF,RF_SMPSO,10.67,0.57,0.92,5.74,1.81,42.46,7.29,0.94,0.76,1.35,
