Class,Subclass,Algorithm,ONVG,ONVGR,SPACING,SPREAD,MAX SPREAD,ER,MPFE,GD,HV,IGD
Metaheuristics,DE,GDE3,2.31,0.080,5.387,0.907,6.074,0.027,2.902,0.163,0.018,0.128
Metaheuristics,EA,EpsMOEA,5.69,0.196,0.351,0.161,11.279,0.000,4.966,0.478,0.036,0.751
Metaheuristics,EA,MOEAD,9.07,0.313,0.423,0.189,4.916,0.000,3.646,0.345,0.017,0.114
Metaheuristics,EA,NSGAII,10.02,0.345,2.073,0.507,9.344,0.192,5.884,0.808,0.053,0.286
Metaheuristics,EA,PESA2,3.21,0.111,5.745,0.301,2.880,0.000,2.273,0.347,0.011,0.390
Metaheuristics,EA,SPEA2,6.66,0.230,7.332,0.660,5.009,0.038,5.589,0.513,0.020,0.025
Metaheuristics,ES,CMAES,10.69,0.369,2.174,0.571,8.283,0.000,5.850,1.314,0.019,1.036
Metaheuristics,ES,PAES,5.29,0.182,0.135,0.112,11.431,0.180,6.286,0.295,0.099,1.514
Metaheuristics,PSO,OMOPSO,6.08,0.210,8.291,1.551,19.902,0.105,4.039,0.359,0.033,0.467
Metaheuristics,PSO,SMPSO,7.51,0.259,1.085,0.382,25.048,0.153,5.113,0.391,0.066,0.583
Model-based,GPR,GPR_NSGAII,2.08,0.072,14.236,0.988,7.345,0.000,3.501,0.166,0.023,0.274
Model-based,GPR,GPR_Random,2.31,0.080,9.906,1.576,13.967,0.000,6.937,0.737,0.072,0.473
Model-based,GPR,GPR_SMPSO,3.51,0.121,7.232,0.960,11.816,0.000,0.448,0.115,0.056,0.518
Model-based,MLP,MLP_NSGAII,2.52,0.087,19.422,1.473,16.458,0.000,3.843,0.495,0.083,1.163
Model-based,MLP,MLP_Random,1.53,0.053,3.534,0.708,1.717,0.000,3.524,0.594,0.021,0.156
Model-based,MLP,MLP_SMPSO,2.52,0.087,42.186,1.792,9.192,0.000,3.595,0.781,0.052,0.194
Model-based,RF,RF_NSGAII,2.08,0.072,2.761,0.324,4.805,0.000,2.192,0.404,0.011,0.249
Model-based,RF,RF_Random,1.73,0.060,3.909,0.633,8.185,0.000,3.921,0.590,0.038,0.282
Model-based,RF,RF_SMPSO,3.06,0.105,3.263,0.633,7.091,0.144,3.169,0.310,0.027,0.197
,,,,,,,,,,,,
