,,,Cardinality,,,Diversity,,,Accuracy,,All,
Class,Subclass,Algorithm,ONVG,ONVGR,ER,Spacing,Spread,Max Spread,MPFE,GD,HV,IGD
Metaheuristic,DE,GDE3,2.31,0.17,0.07,5.39,0.91,6.07,11.25,1.60,0.02,0.30
Metaheuristic,EA,EpsMOEA,5.69,0.26,0.00,0.35,0.16,11.28,5.66,0.49,0.04,1.12
Metaheuristic,EA,MOEAD,9.07,0.58,0.00,0.42,0.19,4.92,4.73,0.35,0.02,0.55
Metaheuristic,EA,NSGAII,10.02,0.86,0.17,2.07,0.51,9.34,9.45,0.92,0.05,0.59
Metaheuristic,EA,PESA2,3.21,0.64,0.04,5.74,0.30,2.88,5.63,0.32,0.01,0.48
Metaheuristic,EA,SPEA2,6.66,0.59,0.04,7.33,0.66,5.01,1.97,0.25,0.02,0.67
Metaheuristic,ES,CMAES,10.69,0.61,0.00,2.17,0.57,8.28,6.39,1.17,0.02,1.23
Metaheuristic,ES,PAES,5.29,0.83,0.17,0.14,0.11,11.43,10.41,0.48,0.10,2.23
Metaheuristic,PSO,OMOPSO,6.08,0.18,0.10,8.29,1.55,19.90,14.52,1.63,0.03,0.03
Metaheuristic,PSO,SMPSO,7.51,0.79,0.14,1.08,0.38,25.05,23.55,1.61,0.07,0.13
Model-based,GPR,GPR_NSGAII,2.08,0.22,0.00,14.24,0.99,7.35,3.55,0.31,0.02,0.95
Model-based,GPR,GPR_Random,2.31,0.06,0.00,9.91,1.58,13.97,5.86,0.26,0.07,0.51
Model-based,GPR,GPR_SMPSO,3.51,0.41,0.07,7.23,0.96,11.82,2.42,0.68,0.06,1.62
Model-based,MLP,MLP_NSGAII,2.52,0.24,0.23,19.42,1.47,16.46,3.67,0.47,0.08,1.57
Model-based,MLP,MLP_Random,1.53,0.15,0.00,3.53,0.71,1.72,3.87,0.74,0.02,0.90
Model-based,MLP,MLP_SMPSO,2.52,0.24,0.10,42.19,1.79,9.19,2.71,0.48,0.05,0.98
Model-based,RF,RF_NSGAII,2.08,0.19,0.04,2.76,0.32,4.81,2.73,0.45,0.01,0.38
Model-based,RF,RF_Random,1.73,0.20,0.05,3.91,0.63,8.19,5.39,0.91,0.04,0.47
Model-based,RF,RF_SMPSO,3.06,0.15,0.14,3.26,0.63,7.09,3.44,0.43,0.03,0.79
